Month,DayOfWeek,AirTime,Distance,TaxiIn,TaxiOut,Delay,jfk_origin
1,4,42.0,184,6.0,20.0,late,1
1,4,101.0,760,7.0,31.0,late,0
1,4,218.0,1522,19.0,18.0,late,0
1,4,91.0,589,10.0,34.0,late,0
1,4,112.0,766,20.0,13.0,ontime,0
1,4,86.0,340,10.0,59.0,late,1
1,4,42.0,213,16.0,20.0,late,0
1,4,95.0,589,9.0,12.0,ontime,0
1,4,112.0,740,8.0,25.0,late,0
1,4,97.0,740,13.0,40.0,late,0
1,4,151.0,740,7.0,49.0,late,1
1,4,42.0,184,20.0,40.0,late,0
1,4,35.0,187,8.0,23.0,ontime,1
1,4,43.0,187,9.0,23.0,ontime,0
1,4,92.0,589,1.0,19.0,ontime,1
1,4,126.0,766,5.0,29.0,late,1
1,4,46.0,267,4.0,21.0,ontime,1
1,4,81.0,425,14.0,28.0,ontime,1
1,5,63.0,213,5.0,57.0,late,1
1,5,76.0,340,19.0,25.0,late,0
1,5,87.0,209,5.0,20.0,late,0
1,5,45.0,264,5.0,27.0,late,1
1,5,50.0,288,7.0,54.0,late,0
1,5,124.0,760,10.0,97.0,late,1
1,5,77.0,264,9.0,61.0,late,0
1,5,77.0,483,6.0,77.0,late,1
1,5,103.0,760,14.0,25.0,late,0
1,5,118.0,740,7.0,73.0,late,1
1,5,37.0,184,11.0,21.0,late,1
1,5,43.0,267,8.0,85.0,late,1
1,5,162.0,766,10.0,18.0,late,0
1,5,45.0,145,23.0,7.0,ontime,0
1,5,70.0,425,24.0,80.0,late,1
1,5,86.0,425,15.0,14.0,late,0
1,5,139.0,892,4.0,79.0,late,1
1,5,149.0,892,3.0,35.0,late,1
1,5,196.0,1522,10.0,14.0,late,0
1,5,165.0,892,17.0,60.0,late,0
1,5,118.0,740,10.0,122.0,late,0
1,5,72.0,340,6.0,12.0,late,0
1,5,41.0,213,10.0,9.0,ontime,0
1,5,91.0,508,11.0,37.0,late,1
1,5,39.0,106,14.0,7.0,late,0
1,5,76.0,426,4.0,35.0,ontime,1
1,5,62.0,340,8.0,65.0,ontime,1
1,5,71.0,267,49.0,50.0,late,0
1,5,46.0,213,6.0,18.0,late,0
1,5,95.0,589,7.0,20.0,late,0
1,5,121.0,766,8.0,31.0,late,0
1,5,101.0,740,20.0,26.0,ontime,0
1,5,32.0,184,10.0,77.0,late,0
1,5,118.0,740,5.0,64.0,late,1
1,5,99.0,740,22.0,114.0,late,0
1,5,49.0,184,11.0,37.0,late,0
1,5,79.0,483,5.0,46.0,late,1
1,5,121.0,740,9.0,65.0,late,1
1,5,73.0,340,6.0,86.0,late,1
1,5,72.0,187,13.0,23.0,late,0
1,5,32.0,187,5.0,98.0,late,1
1,5,100.0,187,35.0,25.0,late,0
1,5,93.0,508,9.0,21.0,late,0
1,5,171.0,187,8.0,10.0,late,1
1,5,80.0,483,20.0,13.0,late,0
1,5,69.0,340,30.0,11.0,ontime,0
1,5,21.0,106,14.0,28.0,late,1
1,5,100.0,589,10.0,45.0,late,1
1,5,49.0,267,5.0,51.0,late,1
1,5,69.0,267,40.0,41.0,late,0
